d,n,omega,seed,row_index,predicted_step_size,observed_step_size,abs_r_l,beta_l,err_step
4,48,1.0,0,28,0.2527909028377175,0.2527909028377175,1.2889463002980657,25.99840869661291,0.0
4,48,1.0,0,11,0.10633464769810434,0.10633464769810431,0.5249674608218116,24.373347333738003,2.7755575615628914e-17
4,48,1.0,0,13,0.2506310343458974,0.2506310343458974,1.0823700451293294,18.650128833698872,0.0
4,48,1.0,0,23,0.0075597167325647495,0.007559716732564769,0.047512532014415854,39.50074670873785,1.9081958235744878e-17
4,48,1.0,0,22,0.08189332895550105,0.08189332895550104,0.5678850127553416,48.08656594293642,1.3877787807814457e-17
4,48,1.0,0,28,0.2527909028377175,0.2527909028377175,1.2889463002980657,25.99840869661291,0.0
4,48,1.0,0,32,0.3175215435350675,0.3175215435350675,1.950673391415704,37.74181014603527,0.0
4,48,1.0,0,5,0.139636209921967,0.13963620992196704,0.896888321858575,41.255383971176585,2.7755575615628914e-17
4,48,1.0,0,42,0.24232167092381685,0.24232167092381682,0.932658708414801,14.81361281779498,2.7755575615628914e-17
4,48,1.0,0,11,0.10633464769810434,0.10633464769810431,0.5249674608218116,24.373347333738003,2.7755575615628914e-17
4,48,1.0,0,27,0.1759083555602418,0.17590835556024187,0.8947360444276531,25.871221189650047,5.551115123125783e-17
4,48,1.0,0,35,0.15941811837427886,0.15941811837427888,0.9854737854792597,38.213322068457586,2.7755575615628914e-17
4,48,1.0,0,35,0.15941811837427886,0.15941811837427888,0.9854737854792597,38.213322068457586,2.7755575615628914e-17
4,48,1.0,0,33,0.022563276688852926,0.022563276688852933,0.1382862841551873,37.562446934645024,6.938893903907228e-18
4,48,1.0,0,35,0.15941811837427886,0.15941811837427888,0.9854737854792597,38.213322068457586,2.7755575615628914e-17
4,48,1.0,0,33,0.022563276688852926,0.022563276688852933,0.1382862841551873,37.562446934645024,6.938893903907228e-18
4,48,1.0,0,5,0.139636209921967,0.13963620992196704,0.896888321858575,41.255383971176585,2.7755575615628914e-17
4,48,1.0,0,16,0.007277953897672277,0.007277953897672251,0.03914809016902021,28.933605750916698,2.6020852139652106e-17
4,48,1.0,0,11,0.10633464769810434,0.10633464769810431,0.5249674608218116,24.373347333738003,2.7755575615628914e-17
4,48,1.0,0,46,0.15622788718068603,0.15622788718068603,0.9248508088299818,35.04501438379775,0.0
4,48,1.0,1,47,0.2688716726352582,0.26887167263525824,1.7283593851171233,41.321683472012175,5.551115123125783e-17
4,48,1.0,1,42,0.029824474797616962,0.02982447479761691,0.17809081066958665,35.656393381727234,5.204170427930421e-17
4,48,1.0,1,40,0.057595276850146246,0.05759527685014627,0.3206070474695375,30.98649033020376,2.0816681711721685e-17
4,48,1.0,1,29,0.13290583250237098,0.132905832502371,0.7852902365951424,34.91180600267905,2.7755575615628914e-17
4,48,1.0,1,45,0.18703448862649577,0.18703448862649574,0.9470198078497445,25.637444452883855,2.7755575615628914e-17
4,48,1.0,1,35,0.22165789000866196,0.22165789000866193,1.1626015722205465,27.51030607089526,2.7755575615628914e-17
